lat,lon,trainno,service,dest,currentstop,nextstop,line,consist,heading,late,SOURCE,TRACK,TRACK_CHANGE,filename,date,time,date_time,train_heading,poi_dist,train_id,train_speed
39.915007,-75.39697,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,734881882813814,104.78291459042,0,Media,2,,index_2024-08-30_09-19-30.csv,2024-08-30,09:19:30,2024-08-30 09:19:30,E,3.6676596981058,2024-08-30_306,0.945781543487907
39.911828166667,-75.391816166667,3212,LOCAL,Norristown,Media,Moylan-Rose Valley,Media/Wawa,449450409403303,147.43893329714,2,Wawa,2,,index_2024-08-30_09-19-30.csv,2024-08-30,09:19:30,2024-08-30 09:19:30,E,3.37221844836066,2024-08-30_3212,21.2037383555481
39.959606265,-75.152854535,2323,LOCAL,Wawa,Temple University,Jefferson Station,Media/Wawa,736845846822821,189.04448697547,0,Norristown,4,,index_2024-09-04_16-52-00.csv,2024-09-04,16:52:00,2024-09-04 16:52:00,W,9.96516047045157,2024-09-04_2323,23.280753755238
39.9059025,-75.336765166667,334,LOCAL,West Trenton,Swarthmore,Morton,Media/Wawa,2.93285447448441E+017,71.90710099621,2,Media,2,,index_2024-09-04_16-52-00.csv,2024-09-04,16:52:00,2024-09-04 16:52:00,E,0.462604000519066,2024-09-04_334,22.2426832799106
39.943575166667,-75.216131833333,5347,LOCAL,Wawa,Penn Medicine Station,49th Street,Media/Wawa,816815850849722,287.16498991376,6,Doylestown,1,,index_2024-09-04_16-52-00.csv,2024-09-04,16:52:00,2024-09-04 16:52:00,W,6.44143078187052,2024-09-04_5347,18.5904420860782
39.903927,-75.383489666667,9345,EXP TO PRIMOS,Wawa,Wallingford,Moylan-Rose Valley,Media/Wawa,"903,2501,2504,2551,2554,2404",287.16730085185,0,Temple U,1,,index_2024-09-04_16-52-00.csv,2024-09-04,16:52:00,2024-09-04 16:52:00,W,2.93207597376464,2024-09-04_9345,19.7963730509434
39.949616833333,-75.188602833333,2315,LOCAL,Wawa,Gray 30th Street,Penn Medicine Station,Media/Wawa,716723805806738,204.26335511823,1,Norristown,6,,index_2024-07-31_13-07-30.csv,2024-07-31,13:07:30,2024-07-31 13:07:30,W,7.95025621007626,2024-07-31_2315,22.6862896405079
39.9151945,-75.397302333333,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,861862880879720,289.43025364514,0,Media,2,,index_2024-07-31_13-07-30.csv,2024-07-31,13:07:30,2024-07-31 13:07:30,W,3.68687414756319,2024-07-31_306,2.09067975672143
39.984261166667,-75.149697333333,8393,LOCAL,Wawa,Wayne Junction,Temple University,Media/Wawa,340341130129,161.97930004747,1,Fox Chase,3,,index_2024-08-31_22-40-00.csv,2024-08-31,22:40:00,2024-08-31 22:40:00,E,10.8399243172983,2024-08-31_8393,19.6745487313474
39.937207333333,-75.272079166667,9374,LOCAL,Temple U,Lansdowne,Fernwood-Yeadon,Media/Wawa,157158393392,73.745302506001,0,Wawa,2,,index_2024-08-31_22-40-00.csv,2024-08-31,22:40:00,2024-08-31 22:40:00,E,3.60973238539235,2024-08-31_9374,23.4937449836584
39.946074333333,-75.2273805,2309,LOCAL,Wawa,49th Street,Angora,Media/Wawa,714713735828827,286.4104660451,0,Norristown,1,,index_2024-08-15_10-12-30.csv,2024-08-15,10:12:30,2024-08-15 10:12:30,W,5.96974081550687,2024-08-15_2309,23.5784044885091
39.91541,-75.398814833333,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,3.00338339298358E+017,278.8066212711,0,Media,2,,index_2024-08-15_10-12-30.csv,2024-08-15,10:12:30,2024-08-15 10:12:30,W,3.7683176322487,2024-08-15_306,0.875855858382171
39.9039465,-75.421435166667,3214,LOCAL,Norristown,Wawa,Elwyn Station,Media/Wawa,179180167168,60.307699835155,0,Wawa,2,,index_2024-08-15_10-12-30.csv,2024-08-15,10:12:30,2024-08-15 10:12:30,E,4.93815514362889,2024-08-15_3214,20.2706551062223
39.903305666667,-75.3635095,8393,LOCAL,Wawa,Swarthmore,Wallingford,Media/Wawa,340341130129,274.70052135545,0,Fox Chase,1,,index_2024-08-31_23-18-00.csv,2024-08-31,23:18:00,2024-08-31 23:18:00,W,1.88669785335364,2024-08-31_8393,22.3134684858175
39.981267333333,-75.149711833333,2315,LOCAL,Wawa,Temple University,Jefferson Station,Media/Wawa,283299296126125,183.42367998648,0,Norristown,4,,index_2024-08-09_12-49-30.csv,2024-08-09,12:49:30,2024-08-09 12:49:30,W,10.7401621508331,2024-08-09_2315,7.23808052812867
39.915238166667,-75.397374666667,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,3.59358298339338E+017,,0,Media,2,,index_2024-08-09_12-49-30.csv,2024-08-09,12:49:30,2024-08-09 12:49:30,,3.69108744946928,2024-08-09_306,0.614072392661818
39.921398166667,-75.299029333333,8387,LOCAL,Wawa,Primos,Secane,Media/Wawa,146145,235.65964172822,4,Temple U,1,,index_2024-08-17_17-16-30.csv,2024-08-17,17:16:30,2024-08-17 17:16:30,W,1.81748268775256,2024-08-17_8387,22.3871367065995
39.907235166667,-75.412060333333,9308,LOCAL,Temple U,Wawa,Elwyn Station,Media/Wawa,801802847848733,51.420193946827,5,Wawa,2,,index_2024-08-17_17-16-30.csv,2024-08-17,17:16:30,2024-08-17 17:16:30,E,4.4340866533541,2024-08-17_9308,22.8676539513309
39.9546798,-75.170957215,2325,LOCAL,Wawa,Suburban Station,Gray 30th Street,Media/Wawa,186185460459,284.98343790343,2,Norristown,6,,index_2024-08-14_18-04-00.csv,2024-08-14,18:04:00,2024-08-14 18:04:00,W,8.94812874910816,2024-08-14_2325,19.753281298611
39.896312,-75.451856166667,9349,EXP TO PRIMOS,Wawa,Elwyn Station,Wawa,Media/Wawa,"909,2556,2557,2559,2550,2409",315.3426968527,0,Temple U,1,,index_2024-08-14_18-04-00.csv,2024-08-14,18:04:00,2024-08-14 18:04:00,W,6.59177325952013,2024-08-14_9349,19.1207989890266
39.916327666667,-75.308792166667,9351,LOCAL,Media,Primos,Secane,Media/Wawa,442441372373,238.0945660075,1,Temple U,1,,index_2024-08-14_18-04-00.csv,2024-08-14,18:04:00,2024-08-14 18:04:00,W,1.19400522315317,2024-08-14_9351,30.6566780499983
39.991394833333,-75.153507,2331,LOCAL,Wawa,North Broad,Temple University,Media/Wawa,415142141120119,155.82276706592,0,Norristown,4,,index_2024-09-05_20-47-30.csv,2024-09-05,20:47:30,2024-09-05 20:47:30,E,10.9162533031875,2024-09-05_2331,15.282391593523
39.909818333333,-75.4090475,3200,LOCAL,Norristown,Elwyn Station,Media,Media/Wawa,357356276408,37.196644060903,1,Wawa,2,,index_2024-08-19_04-51-30.csv,2024-08-19,04:51:30,2024-08-19 04:51:30,E,4.27636624068938,2024-08-19_3200,18.911004939107
39.9007015,-75.458449833333,8383,LOCAL,Wawa,Elwyn Station,Wawa,Media/Wawa,340341129130,299.58430533189,2,Fox Chase,1,,index_2024-09-01_13-39-30.csv,2024-09-01,13:39:30,2024-09-01 13:39:30,W,6.91043934083755,2024-09-01_8383,32.5307091938874
39.931735666667,-75.283496,9304,LOCAL,Temple U,Clifton-Aldan,Gladstone,Media/Wawa,811812725716723,45.911534105055,1,Wawa,2,,index_2024-09-01_13-39-30.csv,2024-09-01,13:39:30,2024-09-01 13:39:30,E,2.89709759535129,2024-09-01_9304,25.5422626834959
39.945228166667,-75.237526,2303,LOCAL,Wawa,49th Street,Angora,Media/Wawa,438437282362363,247.61389155392,10,Norristown,1,,index_2024-07-31_07-22-30.csv,2024-07-31,07:22:30,2024-07-31 07:22:30,W,5.46502629220414,2024-07-31_2303,21.6946722926024
39.932377,-75.282611833333,3208,LOCAL,Norristown,Clifton-Aldan,Gladstone,Media/Wawa,3.53352427428435E+017,45.519273039171,2,Wawa,2,,index_2024-07-31_07-22-30.csv,2024-07-31,07:22:30,2024-07-31 07:22:30,E,2.96086288233672,2024-07-31_3208,12.3184381615271
39.903712166667,-75.371284166667,3702,LOCAL,Chestnut H East,Wallingford,Wallingford,Media/Wawa,367366111112,93.662375195766,0,Media,2,,index_2024-07-31_07-22-30.csv,2024-07-31,07:22:30,2024-07-31 07:22:30,E,2.29045494274082,2024-07-31_3702,23.1905279801596
39.914306833333,-75.394729833333,2325,LOCAL,Wawa,Media,Elwyn Station,Media/Wawa,424423114113,304.06166202042,8,Norristown,1,,index_2024-08-01_18-46-30.csv,2024-08-01,18:46:30,2024-08-01 18:46:30,W,3.54364078341417,2024-08-01_2325.0,16.9633551721209
39.9910865,-75.153312,2327,LOCAL,Wawa,North Broad,Temple University,Media/Wawa,868867836835,156.14620607223,0,Norristown,4,,index_2024-08-01_18-46-30.csv,2024-08-01,18:46:30,2024-08-01 18:46:30,E,10.9137924965531,2024-08-01_2327.0,16.0526884856808
39.955626666667,-75.1782335,5399,LOCAL,Penn Medicine,Suburban Station,Gray 30th Street,Media/Wawa,300305312313412,284.91500819129,4,Lansdale,6,,index_2024-08-01_18-46-30.csv,2024-08-01,18:46:30,2024-08-01 18:46:30,W,8.61468812754606,2024-08-01_5399.0,4.6667860086587
39.930978333333,-75.284600333333,8353,LOCAL,Media,Gladstone,Clifton-Aldan,Media/Wawa,348349452451,226.167399755,0,Fox Chase,1,,index_2024-08-01_18-46-30.csv,2024-08-01,18:46:30,2024-08-01 18:46:30,W,2.81921120468228,2024-08-01_8353.0,25.0349289076222
39.903804166667,-75.3721,2325,LOCAL,Wawa,Swarthmore,Wallingford,Media/Wawa,401421422413,276.40103467461,4,Norristown,1,,index_2024-08-23_18-36-30.csv,2024-08-23,18:36:30,2024-08-23 18:36:30,W,2.33260214132886,2024-08-23_2325,18.8852762497138
39.936183333333,-75.277074333333,3230,LOCAL,Norristown,Gladstone,Lansdowne,Media/Wawa,809810710829830,52.485452462408,0,Wawa,2,,index_2024-08-23_18-36-30.csv,2024-08-23,18:36:30,2024-08-23 18:36:30,E,3.35232312158076,2024-08-23_3230,24.5441368340464
39.95361243,-75.164581265,5399,LOCAL,Penn Medicine,Jefferson Station,Suburban Station,Media/Wawa,158157392393,283.25194239818,0,Lansdale,4,3,index_2024-08-23_18-36-30.csv,2024-08-23,18:36:30,2024-08-23 18:36:30,W,9.23840698895478,2024-08-23_5399,9.19368467383848
39.9478805,-75.190450833333,8353,LOCAL,Media,Penn Medicine Station,49th Street,Media/Wawa,724808807718,220.56829797271,1,Fox Chase,1,,index_2024-08-23_18-36-30.csv,2024-08-23,18:36:30,2024-08-23 18:36:30,W,7.81590948027305,2024-08-23_8353,27.1606430527771
39.908079666667,-75.328311833333,2315,LOCAL,Wawa,Secane,Morton,Media/Wawa,438437282362363,251.45697735658,5,Norristown,1,,index_2024-08-01_13-32-00.csv,2024-08-01,13:32:00,2024-08-01 13:32:00,W,0.018513981169056,2024-08-01_2315,19.5018811619137
39.9149695,-75.396699,306,EXP TO JENKINTOWN,West Trenton,Media,Moylan-Rose Valley,Media/Wawa,861862879880720,,0,Media,2,,index_2024-08-01_13-32-00.csv,2024-08-01,13:32:00,2024-08-01 13:32:00,,3.65307979678756,2024-08-01_306,3.19077840691797
39.908127666667,-75.327932166667,3220,LOCAL,Norristown,Morton,Secane,Media/Wawa,414138137392393,70.627216116533,5,Wawa,2,,index_2024-08-01_13-32-00.csv,2024-08-01,13:32:00,2024-08-01 13:32:00,E,0.0327366420041221,2024-08-01_3220,25.2129548869377
39.899711666667,-75.456342,3866,LOCAL,Fox Chase,Wawa,Wawa,Media/Wawa,153154109110,124.15004946083,0,Wawa,1,,index_2024-08-24_14-13-30.csv,2024-08-24,14:13:30,2024-08-24 14:13:30,E,6.80434429237641,2024-08-24_3866,22.9809600054547
